### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,766,199,121.652,0,255,0,0,100,1,1
1,136,348,-172.714,0,255,0,0,100,1,1
2,784,746,81.9264,0,255,0,0,100,1,1
3,841,325,5.7356,0,255,0,0,100,1,1
4,350,207,-109.602,0,255,0,0,100,1,1
5,782,596,-51.459,0,255,0,0,100,1,1
6,646,73,118.238,0,255,0,0,100,1,1
7,220,579,100.497,0,255,0,0,100,1,1
8,469,813,-170.24,0,255,0,0,100,1,1
9,678,677,172.975,0,255,0,0,100,1,1
10,666,672,168.781,0,255,0,0,100,1,1
11,496,149,46.783,0,255,0,0,100,1,1
12,482,338,-170.243,0,255,0,0,100,1,1
13,928,700,24.9589,0,255,0,0,100,1,1
14,531,934,-88.3984,0,255,0,0,100,1,1
15,624,356,176.885,0,255,0,0,100,1,1
16,324,767,160.256,0,255,0,0,100,1,1
17,738,461,-136.879,0,255,0,0,100,1,1
18,70,493,47.356,0,255,0,0,100,1,1
19,666,177,-158.759,0,255,0,0,100,1,1
20,590,410,60.222,0,255,0,0,100,1,1
21,272,589,-53.8689,0,255,0,0,100,1,1
22,510,253,-116.767,0,255,0,0,100,1,1
23,851,723,-166.398,0,255,0,0,100,1,1
24,703,324,-37.9185,0,255,0,0,100,1,1
25,233,643,-2.90241,0,255,0,0,100,1,1
26,375,240,78.0149,0,255,0,0,100,1,1
27,752,311,-30.5567,0,255,0,0,100,1,1
28,537,143,178.306,0,255,0,0,100,1,1
29,720,163,-17.8727,0,255,0,0,100,1,1
30,31,410,-105.978,0,255,0,0,100,1,1
31,212,585,-133.331,0,255,0,0,100,1,1
32,356,747,54.0603,0,255,0,0,100,1,1
33,661,659,-115.522,0,255,0,0,100,1,1
34,564,155,51.2136,0,255,0,0,100,1,1
35,715,469,155.824,0,255,0,0,100,1,1
36,763,400,150.088,0,255,0,0,100,1,1
37,391,267,-74.9153,0,255,0,0,100,1,1
38,628,84,-151.836,0,255,0,0,100,1,1
39,504,683,-102.807,0,255,0,0,100,1,1
40,602,877,61.6141,0,255,0,0,100,1,1
41,622,560,-86.1097,0,255,0,0,100,1,1
42,312,285,6.04936,0,255,0,0,100,1,1
43,400,909,57.348,0,255,0,0,100,1,1
44,712,710,-124.469,0,255,0,0,100,1,1
45,154,603,135.586,0,255,0,0,100,1,1
46,411,734,-126.628,0,255,0,0,100,1,1
47,564,72,148.773,0,255,0,0,100,1,1
48,59,346,98.4608,0,255,0,0,100,1,1
49,623,886,-25.7577,0,255,0,0,100,1,1
50,822,841,-173.487,0,255,0,0,100,1,1
51,539,424,-41.4129,0,255,0,0,100,1,1
52,474,887,-33.254,0,255,0,0,100,1,1
53,217,275,-50.5085,0,255,0,0,100,1,1
54,580,887,-156.221,0,255,0,0,100,1,1
55,590,384,-138.289,0,255,0,0,100,1,1
56,362,392,-27.3164,0,255,0,0,100,1,1
57,557,731,-19.9653,0,255,0,0,100,1,1
58,397,834,8.13971,0,255,0,0,100,1,1
59,53,520,155.345,0,255,0,0,100,1,1
60,753,489,155.89,0,255,0,0,100,1,1
61,682,670,49.6954,0,255,0,0,100,1,1
62,182,572,-20.771,0,255,0,0,100,1,1
63,144,321,-131.248,0,255,0,0,100,1,1
64,206,549,33.1562,0,255,0,0,100,1,1
65,382,286,161.631,0,255,0,0,100,1,1
66,89,383,134.124,0,255,0,0,100,1,1
67,799,280,96.6255,0,255,0,0,100,1,1
68,597,429,127.803,0,255,0,0,100,1,1
69,357,59,-127.408,0,255,0,0,100,1,1
70,518,88,-51.2941,0,255,0,0,100,1,1
71,308,81,22.9428,0,255,0,0,100,1,1
72,804,853,30.7855,0,255,0,0,100,1,1
73,928,383,-98.9012,0,255,0,0,100,1,1
74,251,423,-41.8543,0,255,0,0,100,1,1
75,230,429,62.4305,0,255,0,0,100,1,1
76,469,358,95.2875,0,255,0,0,100,1,1
77,437,81,149.48,0,255,0,0,100,1,1
78,573,827,13.6219,0,255,0,0,100,1,1
79,842,410,-179.696,0,255,0,0,100,1,1
80,527,548,-53.8905,0,255,0,0,100,1,1
81,292,503,94.5958,0,255,0,0,100,1,1
82,814,712,61.1509,0,255,0,0,100,1,1
83,48,417,59.9438,0,255,0,0,100,1,1
84,406,444,-2.07113,0,255,0,0,100,1,1
85,724,801,73.8032,0,255,0,0,100,1,1
86,667,881,-144.933,0,255,0,0,100,1,1
87,365,110,-171.519,0,255,0,0,100,1,1
88,365,304,-76.7954,0,255,0,0,100,1,1
89,803,514,-133.145,0,255,0,0,100,1,1
90,455,971,-9.15076,0,255,0,0,100,1,1
91,657,754,132.067,0,255,0,0,100,1,1
92,464,738,79.7287,0,255,0,0,100,1,1
93,77,543,-1.49281,0,255,0,0,100,1,1
94,269,210,16.0951,0,255,0,0,100,1,1
95,174,156,169.78,0,255,0,0,100,1,1
96,260,631,-124.982,0,255,0,0,100,1,1
97,743,851,-137.114,0,255,0,0,100,1,1
98,496,265,64.7011,0,255,0,0,100,1,1
99,549,579,-88.0727,0,255,0,0,100,1,1
100,864,331,-123.223,0,255,0,0,100,1,1
101,390,703,170.707,0,255,0,0,100,1,1
102,378,102,-33.7182,0,255,0,0,100,1,1
103,369,350,146.858,0,255,0,0,100,1,1
104,444,227,-146.504,0,255,0,0,100,1,1
105,263,532,23.3018,0,255,0,0,100,1,1
106,733,382,-45.9444,0,255,0,0,100,1,1
107,297,873,129.331,0,255,0,0,100,1,1
108,488,922,102.753,0,255,0,0,100,1,1
