### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,362,180,-95.3584,0,255,0,0,100,1,1
1,244,390,70.2551,0,255,0,0,100,1,1
2,101,395,10.6712,0,255,0,0,100,1,1
3,371,434,171.017,0,255,0,0,100,1,1
4,294,808,115.479,0,255,0,0,100,1,1
5,316,385,152.429,0,255,0,0,100,1,1
6,421,32,-29.8488,0,255,0,0,100,1,1
7,759,215,40.7423,0,255,0,0,100,1,1
8,566,951,-142.889,0,255,0,0,100,1,1
9,516,311,5.57929,0,255,0,0,100,1,1
10,634,197,37.835,0,255,0,0,100,1,1
11,302,356,-18.4832,0,255,0,0,100,1,1
12,701,553,166.228,0,255,0,0,100,1,1
13,777,312,35.858,0,255,0,0,100,1,1
14,398,807,-172.631,0,255,0,0,100,1,1
15,778,423,-55.4008,0,255,0,0,100,1,1
16,711,498,125.075,0,255,0,0,100,1,1
17,361,764,132.529,0,255,0,0,100,1,1
18,231,161,-19.9408,0,255,0,0,100,1,1
19,678,830,-73.955,0,255,0,0,100,1,1
20,132,257,74.8007,0,255,0,0,100,1,1
21,720,279,-32.083,0,255,0,0,100,1,1
22,299,309,-112.014,0,255,0,0,100,1,1
23,548,796,57.8675,0,255,0,0,100,1,1
24,241,559,-2.31201,0,255,0,0,100,1,1
25,472,174,-172.189,0,255,0,0,100,1,1
26,668,441,55.6684,0,255,0,0,100,1,1
27,666,836,-132.125,0,255,0,0,100,1,1
28,524,703,13.5274,0,255,0,0,100,1,1
29,179,336,-168.659,0,255,0,0,100,1,1
30,260,449,-39.479,0,255,0,0,100,1,1
31,718,399,-137.925,0,255,0,0,100,1,1
32,612,553,-147.907,0,255,0,0,100,1,1
33,246,786,71.5391,0,255,0,0,100,1,1
34,156,225,-94.2779,0,255,0,0,100,1,1
35,398,871,119.209,0,255,0,0,100,1,1
36,880,238,-154.568,0,255,0,0,100,1,1
37,357,813,177.205,0,255,0,0,100,1,1
38,696,306,71.0208,0,255,0,0,100,1,1
39,302,411,172.1,0,255,0,0,100,1,1
40,488,933,-90.9098,0,255,0,0,100,1,1
41,932,357,-119.863,0,255,0,0,100,1,1
42,628,327,-78.3823,0,255,0,0,100,1,1
43,615,254,115.723,0,255,0,0,100,1,1
44,176,511,-82.7973,0,255,0,0,100,1,1
45,689,869,32.1392,0,255,0,0,100,1,1
46,745,894,66.0358,0,255,0,0,100,1,1
47,90,632,43.718,0,255,0,0,100,1,1
48,493,719,176.148,0,255,0,0,100,1,1
49,890,402,-111.43,0,255,0,0,100,1,1
50,109,673,-33.8985,0,255,0,0,100,1,1
51,461,205,-115.701,0,255,0,0,100,1,1
52,507,556,-0.635332,0,255,0,0,100,1,1
53,263,690,-103.026,0,255,0,0,100,1,1
54,832,403,6.13117,0,255,0,0,100,1,1
55,502,199,-156.415,0,255,0,0,100,1,1
56,376,610,84.3204,0,255,0,0,100,1,1
57,177,293,94.7715,0,255,0,0,100,1,1
58,731,392,6.67573,0,255,0,0,100,1,1
59,267,699,-15.1414,0,255,0,0,100,1,1
60,667,749,176.226,0,255,0,0,100,1,1
61,818,575,-175.251,0,255,0,0,100,1,1
62,578,551,-30.5327,0,255,0,0,100,1,1
63,480,76,-43.6125,0,255,0,0,100,1,1
64,898,240,-64.6928,0,255,0,0,100,1,1
65,140,415,-24.8085,0,255,0,0,100,1,1
66,256,269,-108.374,0,255,0,0,100,1,1
67,239,781,-28.7025,0,255,0,0,100,1,1
68,680,293,-72.2857,0,255,0,0,100,1,1
69,670,744,117.32,0,255,0,0,100,1,1
70,396,609,-96.9194,0,255,0,0,100,1,1
71,594,497,-129.079,0,255,0,0,100,1,1
72,408,266,80.7491,0,255,0,0,100,1,1
73,564,203,-134.293,0,255,0,0,100,1,1
74,546,550,-92.8754,0,255,0,0,100,1,1
75,433,848,85.9076,0,255,0,0,100,1,1
76,888,566,-160.477,0,255,0,0,100,1,1
77,55,361,79.5555,0,255,0,0,100,1,1
78,411,934,10.4665,0,255,0,0,100,1,1
79,864,240,95.7644,0,255,0,0,100,1,1
80,636,756,-77.8825,0,255,0,0,100,1,1
81,401,304,60.0576,0,255,0,0,100,1,1
82,469,670,93.8144,0,255,0,0,100,1,1
83,552,158,-52.676,0,255,0,0,100,1,1
84,149,702,124.53,0,255,0,0,100,1,1
85,799,243,-179.121,0,255,0,0,100,1,1
86,336,298,-47.8443,0,255,0,0,100,1,1
87,173,233,19.7173,0,255,0,0,100,1,1
88,626,889,51.2934,0,255,0,0,100,1,1
89,351,864,-169.245,0,255,0,0,100,1,1
90,312,654,27.5579,0,255,0,0,100,1,1
91,916,299,113.658,0,255,0,0,100,1,1
92,451,941,-58.0485,0,255,0,0,100,1,1
93,774,526,-166.517,0,255,0,0,100,1,1
94,436,102,-97.4904,0,255,0,0,100,1,1
95,606,137,56.9038,0,255,0,0,100,1,1
96,121,232,-43.526,0,255,0,0,100,1,1
97,832,773,84.722,0,255,0,0,100,1,1
98,401,937,-76.4627,0,255,0,0,100,1,1
99,127,397,12.8922,0,255,0,0,100,1,1
100,600,721,-150.994,0,255,0,0,100,1,1
101,336,180,-35.9793,0,255,0,0,100,1,1
102,602,141,-108.773,0,255,0,0,100,1,1
103,360,226,113.62,0,255,0,0,100,1,1
104,274,678,-10.111,0,255,0,0,100,1,1
105,622,739,-15.5792,0,255,0,0,100,1,1
106,232,615,-75.5044,0,255,0,0,100,1,1
107,523,278,40.3131,0,255,0,0,100,1,1
108,65,458,152.861,0,255,0,0,100,1,1
109,696,78,42.582,0,255,0,0,100,1,1
110,649,865,-37.8126,0,255,0,0,100,1,1
111,223,152,-84.4662,0,255,0,0,100,1,1
112,708,577,-86.4868,0,255,0,0,100,1,1
113,792,621,98.209,0,255,0,0,100,1,1
114,371,471,-74.7273,0,255,0,0,100,1,1
115,930,452,-118.222,0,255,0,0,100,1,1
116,544,67,-55.9935,0,255,0,0,100,1,1
117,594,60,11.1249,0,255,0,0,100,1,1
118,532,914,-15.4612,0,255,0,0,100,1,1
119,648,393,-9.99981,0,255,0,0,100,1,1
120,859,433,-101.295,0,255,0,0,100,1,1
121,786,136,-7.06788,0,255,0,0,100,1,1
122,461,487,-128.707,0,255,0,0,100,1,1
123,577,292,-174.414,0,255,0,0,100,1,1
124,741,629,-42.5303,0,255,0,0,100,1,1
125,903,462,101.345,0,255,0,0,100,1,1
126,440,479,16.0788,0,255,0,0,100,1,1
127,831,601,-54.202,0,255,0,0,100,1,1
128,610,91,-123.434,0,255,0,0,100,1,1
129,232,270,-28.3783,0,255,0,0,100,1,1
130,484,64,-121.586,0,255,0,0,100,1,1
131,635,297,120.389,0,255,0,0,100,1,1
132,368,947,47.1099,0,255,0,0,100,1,1
133,569,263,-97.3525,0,255,0,0,100,1,1
134,538,504,27.7267,0,255,0,0,100,1,1
135,437,502,94.7115,0,255,0,0,100,1,1
136,553,499,135.475,0,255,0,0,100,1,1
137,107,332,-89.6479,0,255,0,0,100,1,1
138,784,600,-128.004,0,255,0,0,100,1,1
139,822,794,-106.752,0,255,0,0,100,1,1
140,494,548,125.659,0,255,0,0,100,1,1
141,435,918,-23.6289,0,255,0,0,100,1,1
142,575,280,128.725,0,255,0,0,100,1,1
143,774,386,46.617,0,255,0,0,100,1,1
144,442,49,-100.006,0,255,0,0,100,1,1
145,194,501,137.398,0,255,0,0,100,1,1
146,349,784,118.946,0,255,0,0,100,1,1
147,608,899,18.0553,0,255,0,0,100,1,1
148,723,102,76.3873,0,255,0,0,100,1,1
149,228,552,80.5883,0,255,0,0,100,1,1
150,891,519,168.76,0,255,0,0,100,1,1
151,646,908,-176.339,0,255,0,0,100,1,1
152,398,410,161.192,0,255,0,0,100,1,1
153,357,239,9.90655,0,255,0,0,100,1,1
154,309,723,125.093,0,255,0,0,100,1,1
155,213,402,27.8673,0,255,0,0,100,1,1
156,276,860,-11.6595,0,255,0,0,100,1,1
157,510,564,165.987,0,255,0,0,100,1,1
158,54,587,-23.5363,0,255,0,0,100,1,1
159,784,195,59.9055,0,255,0,0,100,1,1
160,63,336,2.68106,0,255,0,0,100,1,1
161,146,652,8.87881,0,255,0,0,100,1,1
162,904,725,93.0166,0,255,0,0,100,1,1
163,361,714,84.9688,0,255,0,0,100,1,1
164,83,545,-99.3704,0,255,0,0,100,1,1
165,102,278,-172.538,0,255,0,0,100,1,1
